file	main
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr15_clean	22.87
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr15_sub_clean	22.21
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr15_test15_clean	15.07
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr15_test30_clean	9.57
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr15_test5_clean	20.45
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr30_clean	21.93
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr30_sub_clean	21.21
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr30_test15_clean	13.31
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr30_test30_clean	6.85
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr30_test5_clean	19.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr5_clean	25.56
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr5_sub_clean	23.66
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr5_test15_clean	19.84
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr5_test30_clean	16.47
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_dev_enr5_test5_clean	23.76
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr15_clean	29.95
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr15_sub_clean	28.39
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr15_test15_clean	21.24
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr15_test30_clean	14.79
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr15_test5_clean	27.30
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr30_clean	28.23
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr30_sub_clean	26.72
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr30_test15_clean	18.07
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr30_test30_clean	10.51
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr30_test5_clean	25.11
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr5_clean	33.06
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr5_sub_clean	33.79
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr5_test15_clean	27.00
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr5_test30_clean	22.75
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_ami_eval_enr5_test5_clean	31.18
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_clean	36.20
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_sub_clean	37.46
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_test15_clean	27.00
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_test30_clean	17.26
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr15_test5_clean	34.78
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_clean	35.55
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_sub_clean	36.10
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_test15_clean	25.83
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_test30_clean	15.48
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr30_test5_clean	34.05
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_clean	37.77
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_sub_clean	35.39
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_test15_clean	30.19
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_test30_clean	22.25
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_dev_enr5_test5_clean	36.57
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_clean	30.43
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_sub_clean	18.29
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test15_clean	24.74
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test30_clean	17.22
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr15_test5_clean	30.07
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_clean	28.15
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_sub_clean	29.80
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test15_clean	22.13
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test30_clean	14.28
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr30_test5_clean	27.78
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_clean	31.66
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_sub_clean	27.08
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test15_clean	26.81
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test30_clean	20.29
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_babytrain_eval_enr5_test5_clean	31.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_clean	37.81
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_clo_clean	37.35
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_far_clean	35.48
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_clean	37.13
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_clo_clean	36.43
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_far_clean	34.67
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test15_tv_clean	43.01
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_clean	37.33
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_cal_v1_jsalt19_spkdet_sri_dev_enr30_test30_clo_clean	36.45
